22 103.2738525390625 [4, 1, 3, 5, 5, 4, 3, 0, 3, 2, 1, 1, 4, 2, 3, 3, 5, 4, 4, 5, 2, 2, 5, 1, 0, 5, 4, 3, 5, 0, 3, 4, 0, 2, 5, 1, 3, 5, 1, 2, 5, 5, 0, 4, 5, 3, 4, 5]
24 105.26675262451171 [5, 2, 0, 5, 5, 1, 5, 4, 3, 1, 3, 4, 5, 5, 2, 3, 5, 3, 5, 5, 0, 3, 5, 0, 0, 1, 2, 3, 4, 0, 2, 5, 0, 1, 4, 3, 4, 5, 0, 5, 5, 5, 0, 4, 3, 4, 3, 5]
26 105.11376342773438 [4, 4, 1, 5, 3, 0, 4, 5, 0, 2, 0, 1, 5, 4, 0, 4, 5, 4, 4, 5, 1, 4, 3, 0, 0, 4, 4, 4, 5, 5, 2, 2, 0, 3, 5, 4, 1, 4, 5, 4, 4, 5, 0, 5, 2, 5, 5, 4]
28 103.24542846679688 [5, 3, 2, 5, 3, 3, 4, 2, 1, 5, 2, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 2, 4, 0, 2, 2, 2, 5, 5, 1, 2, 4, 3, 5, 5, 4, 2, 5, 2, 3, 4, 2, 0, 5, 5, 3, 5, 5]
30 106.46670379638672 [5, 4, 3, 5, 3, 1, 4, 4, 1, 1, 1, 4, 4, 5, 1, 4, 5, 4, 5, 5, 0, 2, 5, 0, 1, 5, 5, 5, 5, 0, 3, 5, 1, 3, 4, 5, 2, 4, 5, 5, 4, 3, 0, 5, 4, 5, 5, 4]
32 106.50668029785157 [4, 5, 3, 5, 4, 4, 1, 5, 2, 0, 4, 0, 5, 4, 5, 3, 5, 4, 4, 5, 0, 4, 5, 0, 3, 5, 5, 5, 5, 0, 2, 4, 1, 3, 4, 4, 3, 5, 2, 2, 5, 1, 0, 5, 5, 5, 5, 2]
34 106.60793151855468 [4, 4, 4, 5, 4, 3, 4, 4, 2, 1, 5, 5, 4, 4, 3, 3, 5, 4, 5, 4, 0, 4, 5, 0, 2, 5, 2, 4, 5, 5, 3, 5, 0, 4, 5, 5, 4, 5, 3, 5, 5, 3, 0, 4, 1, 5, 2, 5]
36 106.63388061523438 [5, 5, 1, 5, 5, 4, 4, 0, 5, 0, 4, 5, 5, 5, 0, 4, 5, 4, 3, 4, 2, 3, 5, 1, 0, 4, 4, 5, 5, 0, 3, 4, 1, 4, 5, 5, 5, 5, 2, 3, 5, 4, 0, 5, 5, 4, 5, 4]
38 107.1369659423828 [5, 3, 5, 5, 5, 2, 5, 0, 2, 0, 2, 5, 5, 5, 1, 3, 5, 4, 4, 5, 0, 4, 5, 0, 0, 5, 5, 4, 5, 5, 3, 3, 0, 3, 5, 3, 1, 5, 3, 4, 5, 3, 0, 5, 1, 5, 5, 4]
40 105.42420959472656 [5, 4, 0, 5, 4, 1, 3, 4, 4, 5, 2, 3, 5, 5, 0, 4, 5, 3, 3, 5, 2, 3, 5, 0, 1, 3, 1, 4, 5, 0, 2, 4, 2, 3, 5, 2, 2, 4, 3, 5, 5, 5, 0, 5, 5, 5, 5, 3]
42 107.22434692382814 [5, 0, 2, 4, 5, 3, 4, 0, 5, 1, 3, 3, 5, 4, 2, 4, 5, 4, 4, 4, 0, 3, 5, 5, 0, 4, 4, 5, 5, 5, 2, 5, 0, 5, 5, 1, 3, 5, 2, 4, 4, 4, 0, 5, 4, 5, 4, 5]
44 107.67101440429688 [5, 4, 1, 5, 5, 3, 4, 1, 0, 1, 1, 1, 5, 5, 3, 4, 5, 4, 4, 5, 4, 5, 5, 1, 1, 5, 4, 5, 5, 1, 2, 3, 0, 5, 5, 5, 4, 5, 2, 3, 5, 4, 0, 4, 5, 4, 4, 5]
46 106.8606170654297 [5, 3, 1, 5, 4, 0, 3, 4, 4, 1, 3, 0, 3, 5, 0, 3, 5, 4, 4, 5, 0, 2, 5, 1, 2, 5, 1, 3, 5, 5, 2, 4, 0, 3, 5, 5, 3, 5, 2, 5, 5, 2, 0, 5, 3, 5, 5, 2]
48 107.30361938476562 [3, 4, 1, 5, 5, 0, 5, 3, 3, 0, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 0, 3, 5, 4, 0, 5, 5, 5, 5, 2, 2, 1, 0, 3, 5, 5, 2, 5, 2, 4, 5, 4, 0, 5, 5, 5, 5, 3]
50 108.81792755126955 [5, 3, 2, 5, 4, 5, 4, 0, 0, 1, 2, 4, 5, 4, 4, 4, 5, 4, 4, 5, 0, 2, 5, 0, 0, 5, 5, 5, 5, 5, 3, 5, 0, 5, 5, 5, 3, 5, 1, 4, 4, 4, 0, 5, 3, 5, 5, 4]
52 107.42980499267577 [4, 4, 5, 5, 4, 3, 4, 2, 2, 1, 0, 5, 5, 5, 3, 4, 5, 4, 5, 5, 1, 4, 5, 5, 0, 5, 3, 5, 5, 0, 2, 5, 2, 3, 5, 2, 5, 5, 1, 5, 5, 5, 0, 5, 4, 4, 4, 4]
54 109.14698486328125 [4, 3, 0, 5, 5, 3, 2, 4, 0, 1, 1, 4, 5, 5, 1, 4, 5, 4, 4, 5, 2, 5, 5, 0, 0, 5, 5, 5, 5, 0, 2, 4, 0, 4, 5, 5, 3, 5, 0, 3, 5, 2, 0, 5, 5, 5, 5, 4]
56 107.9658676147461 [5, 3, 3, 5, 5, 2, 3, 3, 1, 2, 3, 3, 5, 5, 4, 4, 5, 4, 4, 5, 1, 4, 4, 2, 0, 5, 5, 5, 5, 5, 3, 1, 0, 4, 5, 5, 5, 5, 2, 5, 5, 0, 0, 5, 5, 4, 4, 4]
58 108.5261688232422 [5, 0, 3, 5, 5, 4, 4, 0, 4, 2, 3, 1, 5, 5, 5, 3, 5, 4, 4, 5, 1, 4, 5, 0, 0, 5, 4, 5, 5, 5, 2, 3, 0, 4, 5, 4, 2, 5, 2, 5, 5, 2, 0, 5, 4, 5, 5, 3]
60 107.57629699707033 [5, 0, 0, 5, 5, 4, 5, 1, 5, 0, 3, 4, 5, 5, 1, 4, 5, 4, 4, 5, 3, 2, 5, 0, 0, 5, 1, 5, 5, 0, 2, 0, 0, 5, 5, 5, 3, 5, 5, 5, 5, 4, 0, 5, 4, 4, 4, 5]
62 107.82949676513672 [2, 2, 0, 5, 5, 0, 3, 0, 5, 1, 3, 4, 5, 5, 3, 3, 5, 3, 5, 5, 1, 5, 4, 1, 0, 5, 4, 4, 5, 0, 2, 5, 0, 1, 3, 5, 0, 5, 1, 2, 5, 1, 0, 5, 5, 5, 4, 3]
64 109.41873626708986 [4, 5, 0, 5, 5, 3, 3, 4, 4, 0, 5, 4, 5, 5, 4, 4, 5, 4, 4, 5, 1, 3, 5, 0, 1, 5, 4, 5, 5, 0, 2, 5, 1, 1, 5, 4, 3, 5, 0, 5, 5, 2, 0, 5, 5, 4, 4, 5]
66 107.77034759521483 [4, 1, 0, 5, 5, 0, 4, 1, 4, 4, 0, 3, 4, 5, 5, 4, 5, 4, 4, 5, 1, 3, 4, 0, 0, 5, 4, 4, 5, 1, 3, 4, 2, 4, 5, 5, 3, 5, 1, 4, 5, 4, 0, 5, 5, 5, 5, 5]
68 109.12107543945314 [5, 4, 3, 5, 5, 0, 3, 2, 4, 0, 3, 2, 4, 5, 5, 4, 5, 4, 5, 5, 0, 3, 5, 2, 0, 5, 5, 5, 5, 5, 2, 5, 0, 3, 5, 4, 0, 5, 3, 3, 5, 1, 0, 5, 5, 5, 4, 3]
70 109.16921539306641 [3, 0, 4, 5, 5, 3, 3, 4, 5, 2, 1, 3, 5, 4, 4, 4, 5, 4, 5, 5, 1, 5, 5, 0, 0, 5, 4, 5, 4, 5, 3, 4, 0, 5, 5, 4, 3, 5, 1, 5, 5, 3, 0, 5, 1, 5, 5, 5]
72 108.60151367187501 [5, 1, 4, 5, 5, 1, 3, 4, 4, 5, 1, 2, 5, 5, 1, 4, 5, 4, 4, 5, 0, 4, 5, 0, 0, 5, 5, 5, 5, 1, 2, 5, 0, 1, 5, 4, 3, 5, 0, 3, 5, 5, 0, 5, 1, 5, 5, 4]
74 109.59580688476562 [5, 3, 3, 5, 5, 2, 4, 2, 4, 4, 4, 5, 5, 5, 1, 4, 5, 4, 4, 5, 0, 2, 5, 1, 1, 5, 1, 4, 5, 5, 3, 5, 1, 5, 5, 5, 3, 5, 2, 5, 5, 4, 0, 5, 5, 5, 4, 5]
76 109.56450805664063 [5, 0, 1, 5, 5, 5, 3, 5, 4, 3, 3, 1, 5, 5, 5, 4, 5, 4, 4, 4, 0, 5, 4, 0, 0, 5, 5, 5, 5, 5, 2, 5, 0, 4, 5, 5, 4, 5, 2, 4, 5, 0, 0, 5, 4, 4, 4, 5]
78 110.38590240478516 [4, 3, 0, 5, 4, 2, 4, 3, 4, 0, 3, 2, 5, 5, 5, 4, 5, 4, 4, 5, 0, 2, 5, 0, 0, 1, 5, 5, 5, 5, 2, 5, 0, 4, 5, 5, 3, 5, 0, 5, 5, 0, 0, 5, 4, 5, 5, 5]
80 108.73382873535155 [5, 4, 0, 5, 5, 2, 5, 2, 5, 2, 2, 1, 5, 5, 1, 3, 5, 4, 4, 5, 2, 4, 5, 1, 3, 4, 4, 4, 5, 0, 2, 4, 1, 5, 5, 5, 5, 5, 0, 4, 5, 5, 0, 5, 4, 5, 5, 5]
82 109.43842773437501 [5, 0, 1, 5, 5, 2, 4, 1, 0, 2, 2, 2, 5, 5, 5, 3, 5, 4, 4, 5, 1, 5, 5, 0, 3, 5, 4, 4, 5, 5, 2, 5, 1, 4, 5, 4, 2, 5, 2, 4, 5, 4, 0, 5, 4, 5, 5, 5]
